molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,bioactivity_class,MW,LogP,HBD,HBA
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,13500.0,nM,4.87,inactive,218.16799999999998,1.1196599999999999,4.0,6.0
CHEMBL78302,COc1ccc(C=C(C#N)C#N)cc1O,250000.0,nM,,inactive,200.19699999999997,1.8313599999999997,1.0,4.0
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,nM,8.35,active,559.6300000000002,4.824820000000003,3.0,6.0
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,100.0,nM,7.00,active,559.6300000000002,4.824820000000003,3.0,6.0
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,508.0,nM,6.29,active,250.30500000000004,2.8241000000000014,2.0,4.0
CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,450000.0,nM,,inactive,215.16799999999995,1.7309599999999998,1.0,5.0
CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,200.0,nM,6.70,active,526.0160000000002,4.5219400000000025,4.0,6.0
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,210.0,nM,6.68,active,495.94600000000037,3.5295200000000015,3.0,6.0
CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,833000.0,nM,,inactive,191.161,1.8172799999999998,1.0,2.0
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,47000.0,nM,4.33,inactive,201.18099999999998,1.49068,1.0,3.0
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,1200000.0,nM,,inactive,180.159,1.1956,3.0,3.0
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.5,nM,8.19,active,525.9720000000001,3.203920000000001,4.0,7.0
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,nM,7.40,active,525.9720000000001,3.203920000000001,4.0,7.0
CHEMBL77197,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,1100000.0,nM,,inactive,233.22299999999998,1.78248,2.0,4.0
CHEMBL305695,N#CC(C#N)=Cc1ccc(O)cc1,560000.0,nM,,inactive,170.171,1.82276,1.0,3.0
CHEMBL68258,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,20000.0,nM,,inactive,422.48900000000026,2.0685199999999995,2.0,6.0
CHEMBL76587,N#CC(C#N)Cc1ccc(O)cc1,6500000.0,nM,,inactive,172.187,1.5980599999999998,1.0,3.0
CHEMBL77456,COc1ccc(C=C(C#N)C#N)cc1,1250000.0,nM,,inactive,184.19799999999998,2.1257600000000005,0.0,3.0
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,13.0,nM,7.89,active,509.97300000000024,3.919620000000001,3.0,6.0
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,200.0,nM,6.70,active,509.97300000000024,3.919620000000001,3.0,6.0
CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,800000.0,nM,,inactive,188.18599999999998,0.7844799999999998,2.0,3.0
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,60000.0,nM,4.22,inactive,182.182,1.9296599999999997,0.0,3.0
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,37000.0,nM,4.43,inactive,186.17,1.52836,2.0,4.0
CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,833000.0,nM,,inactive,203.19699999999997,1.68678,1.0,3.0
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,29.0,nM,7.54,active,413.7960000000001,3.8401200000000006,4.0,5.0
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,50000.0,nM,,inactive,413.7960000000001,3.8401200000000006,4.0,5.0
CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,325000.0,nM,,inactive,219.196,1.39238,2.0,4.0
CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,200.0,nM,6.70,active,270.72300000000007,3.609000000000001,2.0,4.0
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0,nM,7.36,active,315.17400000000004,3.7181000000000015,2.0,4.0
CHEMBL311564,COc1ccc(C(O)=C(C#N)C#N)cc1,450000.0,nM,,inactive,200.197,2.0114600000000005,1.0,4.0
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,75000.0,nM,4.12,inactive,205.16899999999998,1.0893799999999998,3.0,4.0
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,nM,8.33,active,441.8500000000001,4.1591200000000015,4.0,5.0
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,nM,8.74,active,560.6180000000002,4.219820000000002,3.0,7.0
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,100.0,nM,7.00,active,560.6180000000002,4.219820000000002,3.0,7.0
CHEMBL307248,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,640000.0,nM,,inactive,269.25999999999993,1.9204599999999998,2.0,4.0
CHEMBL310958,N#CC(C#N)=NNc1ccc(O)cc1,225000.0,nM,,inactive,186.174,1.20726,2.0,5.0
CHEMBL78005,N#CC(C#N)=Cc1ccc2c(c1)OCO2,350000.0,nM,,inactive,198.18099999999995,1.84586,0.0,4.0
CHEMBL134312,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,nM,7.96,active,371.242,4.696200000000003,1.0,5.0
CHEMBL77243,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,55000.0,nM,4.26,inactive,300.402,3.4696800000000017,2.0,3.0
CHEMBL77778,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,450000.0,nM,,inactive,224.219,2.2149599999999996,1.0,3.0
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2.8,nM,8.55,active,495.9460000000001,3.5295200000000007,3.0,6.0
