molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,bioactivity_class,MW,LogP,HBD,HBA
CHEMBL392664,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CNC6CCNCC6)c45)ccc32)c1,110.0,nM,6.96,active,470.5560000000003,3.851600000000002,3.0,6.0
CHEMBL248108,NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,35.0,nM,7.46,active,470.55600000000027,3.9331000000000014,2.0,6.0
CHEMBL392273,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)c1,33.0,nM,7.48,active,470.5560000000004,3.8053000000000017,2.0,6.0
CHEMBL248044,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC,90.0,nM,7.05,active,345.4020000000001,4.091680000000003,1.0,5.0
CHEMBL399438,N#Cc1cnc2cc(-c3ccc(CN4CCOCC4)cc3)ccc2c1N[C@@H]1C[C@H]1c1ccccc1,234.0,nM,6.63,active,460.5810000000001,5.573680000000005,1.0,5.0
CHEMBL245798,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OC1CCN(C)CC1,360.0,nM,6.44,active,428.5360000000003,4.556080000000004,1.0,6.0
CHEMBL248393,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCN1CCN(C)CC1,5.7,nM,8.24,active,471.6050000000004,4.099380000000004,1.0,7.0
CHEMBL248392,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCN1CCOCC1,5.0,nM,8.30,active,458.5620000000004,4.184180000000003,1.0,7.0
CHEMBL401251,COCCOc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC,52.8,nM,7.28,active,389.45500000000015,4.108280000000003,1.0,6.0
CHEMBL248391,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCc1cccnc1,173.0,nM,6.76,active,450.54200000000026,5.489680000000005,1.0,6.0
CHEMBL248222,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCc1cccnc1,68.0,nM,7.17,active,450.54200000000026,5.489680000000005,1.0,6.0
CHEMBL401054,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCN1CCOCC1,405.0,nM,6.39,active,444.53500000000037,3.794080000000003,1.0,7.0
CHEMBL251315,CCOc1cc2ncnc(C#C[C@](C)(Cc3ccccc3)N3CCC(C(=O)O)CC3)c2cc1OCC,662.0,nM,6.18,active,487.60000000000036,4.576700000000003,1.0,6.0
CHEMBL399373,CCOc1cc2ncnc(C#C[C@@](C)(Cc3ccccc3)N3CCC(C(=O)O)CC3)c2cc1OCC,4.2,nM,8.38,active,487.60000000000036,4.576700000000003,1.0,6.0
CHEMBL251314,CCOc1cc2ncnc(C#CC(C)(Cc3ccccc3)N3CCC(C(=O)O)CC3)c2cc1OCC,11.7,nM,7.93,active,487.60000000000036,4.576700000000003,1.0,6.0
CHEMBL251125,CCOc1cc2ncnc(C#Cc3c[nH]nc3-c3ccc(F)cc3)c2cc1OCC,1.8,nM,8.74,active,402.42900000000014,4.356200000000004,1.0,5.0
CHEMBL399372,CCOc1cc2ncnc(C#Cc3nccn3-c3ccccc3)c2cc1OCC,12.0,nM,7.92,active,384.43900000000014,4.012700000000003,0.0,5.0
CHEMBL251124,CCOc1cc2ncnc(C#Cc3[nH]ccc3-c3ccccc3)c2cc1OCC,10.0,nM,8.00,active,383.45100000000014,4.822100000000003,1.0,4.0
CHEMBL251123,CCOc1cc2ncnc(/C=C/CCCc3ccccc3)c2cc1OCC,140.0,nM,6.85,active,362.4730000000001,5.463300000000005,0.0,4.0
CHEMBL399371,CCOc1cc2ncnc(/C=C/CCc3ccccc3)c2cc1OCC,5.0,nM,8.30,active,348.44600000000014,5.073200000000004,0.0,4.0
CHEMBL250925,CCOc1cc2ncnc(/C=C/c3ccccc3)c2cc1OCC,15.0,nM,7.82,active,320.3920000000001,4.5976000000000035,0.0,4.0
CHEMBL250924,COc1cc2ncnc(C#Cc3ccccc3-c3ccccc3)c2cc1OC,26.0,nM,7.58,active,366.42000000000013,4.7138000000000035,0.0,4.0
CHEMBL250923,COc1cc2ncnc(/C=C/CCc3ccccc3)c2cc1OC,4.0,nM,8.40,active,320.3920000000001,4.293000000000004,0.0,4.0
CHEMBL3085381,CCN(CC)[C@@](C)(CCc1ncnc2cc(OC)c(OC)cc12)Cc1ccccc1,130.0,nM,6.89,active,407.55800000000016,4.922800000000005,0.0,5.0
CHEMBL3085379,CCN(CC)[C@@](C)(C#Cc1ncnc2cc(OC)c(OC)cc12)Cc1ccncc1,200.0,nM,6.70,active,404.5140000000002,3.7367000000000026,0.0,6.0
CHEMBL3085376,CCN(CC)[C@@](C)(C#Cc1ncnc2cc(OC)c(OC)cc12)Cc1ccccc1,3.0,nM,8.52,active,403.5260000000002,4.341700000000004,0.0,5.0
CHEMBL3085375,COc1cc2ncnc(C#C[C@@](C)(Cc3ccccc3)N3CCC(C(=O)O)CC3)c2cc1OC,33.0,nM,7.48,active,459.54600000000033,3.7965000000000027,1.0,6.0
CHEMBL3085374,COc1cc2ncnc(C#C[C@](C)(O)Cc3ccccc3)c2cc1OC,9.0,nM,8.05,active,348.4020000000001,2.9922000000000013,1.0,5.0
CHEMBL250524,COc1cc2ncnc(C#CC(C)(C)N(C)c3ccccc3)c2cc1OC,80.0,nM,7.10,active,361.4450000000001,3.9135000000000035,0.0,5.0
CHEMBL399953,COc1cc2ncnc(C#CC(C)(C)Cc3ccccc3)c2cc1OC,13.0,nM,7.89,active,346.43000000000006,4.267400000000004,0.0,4.0
CHEMBL250523,COc1cc2ncnc(C#CCOc3ccccc3)c2cc1OC,15.0,nM,7.82,active,320.34800000000007,3.0775000000000015,0.0,5.0
CHEMBL250318,COc1cc2ncnc(C#CCCc3ccccc3)c2cc1OC,14.0,nM,7.85,active,318.3760000000001,3.631300000000002,0.0,4.0
CHEMBL249927,O=C(CO)N1CCC[C@@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,97.0,nM,7.01,active,519.9890000000001,4.362900000000003,2.0,8.0
CHEMBL413987,C[C@@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,191.0,nM,6.72,active,507.97800000000024,4.2188000000000025,2.0,8.0
CHEMBL250132,C[C@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,2.0,nM,8.70,active,507.97800000000024,4.2188000000000025,2.0,8.0
CHEMBL250130,C[C@H](COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)N(C)C(=O)CO,3.0,nM,8.52,active,507.97800000000024,4.218800000000003,2.0,8.0
CHEMBL249928,CN(CCOc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)CO,35.0,nM,7.46,active,493.9510000000003,3.8303000000000025,2.0,8.0
CHEMBL403569,O=C(CO)N1CCC[C@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,327.0,nM,6.49,active,519.9890000000001,4.362900000000003,2.0,8.0
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,39.0,nM,7.41,active,446.9100000000004,4.275600000000003,1.0,7.0
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,23.0,nM,7.64,active,393.4430000000002,3.405100000000002,1.0,7.0
CHEMBL248864,COc1cc2ncnc(Nc3cccc(C#CC(C)(C)O)c3)c2cc1OC,205.8,nM,6.69,active,363.41700000000014,3.5130000000000026,2.0,6.0
CHEMBL248674,COc1cc2ncnc(Nc3cccc(C#CCCO)c3)c2cc1OC,402.1,nM,6.40,active,349.3900000000001,3.124500000000002,2.0,6.0
CHEMBL399735,COc1cc2ncnc(Nc3cccc(C#Cc4ccccc4)c3)c2cc1OC,921.0,nM,6.04,active,381.4350000000001,4.7904000000000035,1.0,5.0
CHEMBL304929,C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,28.8,nM,7.54,active,305.33700000000005,3.371900000000002,1.0,5.0
CHEMBL251700,Fc1ccc(Nc2ncnc3ccc(C#CCN4CCCCC4)cc23)cc1Cl,88.7,nM,7.05,active,394.8810000000002,5.003300000000004,1.0,4.0
CHEMBL251498,Fc1ccc(Nc2ncnc3ccc(C#CCN4CCOCC4)cc23)cc1Cl,50.3,nM,7.30,active,396.8530000000002,3.8496000000000032,1.0,5.0
CHEMBL251497,CC(C)(O)C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,151.5,nM,6.82,active,355.8000000000001,4.288300000000002,2.0,4.0
CHEMBL399928,CC(O)C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,94.5,nM,7.03,active,341.7730000000001,3.898200000000002,2.0,4.0
CHEMBL251291,OCCCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,114.2,nM,6.94,active,355.8000000000001,4.289900000000003,2.0,4.0
CHEMBL249921,OCCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,185.8,nM,6.73,active,341.7730000000001,3.8998000000000017,2.0,4.0
CHEMBL249919,OCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,14.1,nM,7.85,active,327.74600000000004,3.5097000000000014,2.0,4.0
CHEMBL249511,Fc1ccc(Nc2ncnc3ccc(C#Cc4ccccc4)cc23)cc1Cl,331.0,nM,6.48,active,373.8180000000001,5.565700000000003,1.0,3.0
CHEMBL249509,C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,126.9,nM,6.90,active,297.7200000000001,4.1472000000000016,1.0,3.0
CHEMBL253292,CCN(CC)CCOc1ccc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)cc1,380.0,nM,6.42,active,489.40700000000015,5.891600000000005,3.0,6.0
CHEMBL258015,CO/N=C(\C)c1ccc2c(c1)c1c3c(c4c(c1n2CC(C)C)CCc1nn(C)cc1-4)C(=O)NC3,1000.0,nM,,active,455.56200000000024,4.563400000000004,1.0,4.0
CHEMBL401896,CCO/N=C(\C)c1ccc2c(c1)c1c3c(c4c(c1n2C(C)C)CCc1nn(C)cc1-4)C(=O)NC3,1000.0,nM,,active,455.56200000000024,4.8784000000000045,1.0,4.0
CHEMBL402011,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,180.0,nM,6.75,active,467.53300000000024,4.021900000000002,1.0,7.0
CHEMBL257411,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1,366.0,nM,6.44,active,515.5990000000003,3.854000000000002,1.0,9.0
CHEMBL428777,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,22.0,nM,7.66,active,477.95200000000017,4.856300000000003,1.0,7.0
CHEMBL255376,OC1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)CC1,1.0,nM,,active,512.9730000000003,4.303500000000002,3.0,8.0
CHEMBL272935,CN1CCN(CCCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,14.0,nM,7.85,active,509.0140000000003,3.7402000000000024,2.0,9.0
CHEMBL257860,OC1CCN(CCCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,9.0,nM,8.05,active,509.99800000000033,3.949500000000003,3.0,9.0
CHEMBL257859,Clc1cc(Nc2ncnc3[nH]nc(OCCCN4CCOCC4)c23)ccc1OCc1ccccn1,16.0,nM,7.80,active,495.97100000000034,3.825000000000002,2.0,9.0
CHEMBL257861,OCCOc1n[nH]c2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,16.0,nM,7.80,active,412.83700000000016,3.0950000000000006,3.0,8.0
CHEMBL271705,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCOCC4)c23)ccc1OCc1ccccn1,1.0,nM,9.00,active,481.94400000000036,3.4349000000000016,2.0,9.0
CHEMBL411897,COC1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,28.0,nM,7.55,active,509.99800000000033,4.2135000000000025,2.0,9.0
CHEMBL270448,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCCCO4)c23)ccc1OCc1ccccn1,1.0,nM,,active,495.9710000000004,4.520200000000003,2.0,9.0
CHEMBL257430,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCNCC4)c23)ccc1OCc1ccccn1,8.0,nM,8.10,active,480.9600000000003,3.0079000000000002,3.0,9.0
CHEMBL402553,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCC4)c23)ccc1OCc1ccccn1,8.0,nM,8.10,active,465.94500000000033,4.198500000000003,2.0,8.0
CHEMBL258270,CC(=O)N1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,3.0,nM,8.52,active,522.9970000000003,3.266800000000001,2.0,9.0
CHEMBL258282,CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,5.0,nM,8.30,active,494.98700000000025,3.350100000000001,2.0,9.0
CHEMBL255135,CNCCOc1n[nH]c2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,17.0,nM,7.77,active,425.88000000000017,3.3221000000000016,3.0,8.0
CHEMBL401713,COc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc1ccccn1,104.0,nM,6.98,active,491.5520000000003,2.914600000000001,3.0,10.0
CHEMBL402339,COc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc1cccc(F)c1,13.0,nM,7.89,active,508.5540000000003,3.6587000000000023,3.0,9.0
CHEMBL257872,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2C)cn1,216.0,nM,6.67,active,475.5530000000004,3.7361400000000016,3.0,9.0
CHEMBL403435,Cc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc1ccccn1,18.0,nM,7.75,active,475.5530000000003,3.2144200000000014,3.0,9.0
CHEMBL438536,Cc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc1cccc(F)c1,1.0,nM,,active,492.5550000000003,3.9585200000000027,3.0,8.0
CHEMBL255170,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2Cl)cn1,7.0,nM,8.15,active,495.9710000000004,4.081120000000001,3.0,9.0
CHEMBL404405,OC1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,13.0,nM,7.89,active,495.9710000000003,3.559400000000002,3.0,9.0
CHEMBL410643,COC[C@H]1OC(=O)/C(=C/N(C)CCCN(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10000.0,nM,,inactive,546.6610000000003,2.1359000000000012,2.0,10.0
CHEMBL271190,COC[C@H]1OC(=O)/C(=C/N(CCO)C(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10000.0,nM,,inactive,547.6450000000003,2.3452,3.0,10.0
CHEMBL289959,c1ccc(Nc2ncnc3ccccc23)cc1,346.74,nM,6.46,active,221.26300000000003,3.373400000000001,1.0,3.0
CHEMBL271408,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,3.548,nM,8.45,active,359.4370000000002,3.775520000000001,2.0,6.0
CHEMBL410253,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCN(C)CC1,5.623,nM,8.25,active,391.52300000000037,3.126220000000001,2.0,7.0
CHEMBL271410,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,9.333,nM,8.03,active,378.48000000000036,3.2110200000000004,2.0,7.0
CHEMBL271587,Cc1cccc(Nc2ncnc3ccncc23)c1NCCCCN(C)C,5.495,nM,8.26,active,350.47000000000025,3.8305200000000017,2.0,6.0
CHEMBL270895,O=S(=O)(O)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,1.413,nM,8.85,active,424.2800000000001,2.8306000000000004,3.0,7.0
CHEMBL271113,CN(CC(=O)O)c1c(Br)cccc1Nc1ncnc2ccncc12,16.22,nM,7.79,active,388.2250000000001,3.051700000000001,2.0,6.0
CHEMBL271122,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,0.2818,nM,9.55,active,402.2520000000001,3.8076000000000008,3.0,6.0
CHEMBL408399,O=C(O)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,0.6166,nM,9.21,active,388.2250000000001,3.4175000000000013,3.0,6.0
CHEMBL405771,O=C(O)CNc1c(Br)cccc1Nc1ncnc2ccncc12,1.514,nM,8.82,active,374.1980000000001,3.027400000000001,3.0,6.0
CHEMBL272187,Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,0.912,nM,9.04,active,410.27900000000017,3.9086000000000007,3.0,6.0
CHEMBL272865,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,0.5129,nM,9.29,active,424.3060000000002,4.229600000000001,2.0,6.0
CHEMBL272634,NNc1c(Br)cccc1Nc1ncnc2ccncc12,7.244,nM,8.14,active,331.1770000000001,2.8165000000000004,3.0,6.0
CHEMBL427832,OCCN(CCO)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,1.202,nM,8.92,active,461.3640000000001,2.6195000000000004,4.0,8.0
CHEMBL271623,OCCN(CCO)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.333,nM,8.03,active,447.3370000000001,2.2294,4.0,8.0
CHEMBL271532,CN1CCN(CCCNc2c(Br)cccc2Nc2ncnc3ccncc23)CC1,5.012,nM,8.30,active,456.3920000000002,3.580300000000001,2.0,7.0
CHEMBL272895,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,5.495,nM,8.26,active,457.37600000000043,4.055200000000002,2.0,7.0
CHEMBL271334,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,1.905,nM,8.72,active,443.3490000000004,3.6651000000000016,2.0,7.0
CHEMBL405398,Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,3.236,nM,8.49,active,429.32200000000034,3.2750000000000004,2.0,7.0
CHEMBL270966,CN(C)CCN(C)c1c(Br)cccc1Nc1ncnc2ccncc12,40.74,nM,7.39,active,401.3120000000001,3.5287000000000015,1.0,6.0
CHEMBL411243,CN(C)CCCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.511,nM,8.07,active,429.3660000000001,4.674700000000003,2.0,6.0
CHEMBL270501,CN(C)CCCCNc1c(Br)cccc1Nc1ncnc2ccncc12,7.413,nM,8.13,active,415.3390000000001,4.284600000000003,2.0,6.0
CHEMBL408647,CN(C)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.913,nM,8.05,active,401.3120000000001,3.8945000000000016,2.0,6.0
CHEMBL270713,CN(C)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,45.71,nM,7.34,active,387.2850000000001,3.5044000000000013,2.0,6.0
CHEMBL406004,OCCN(CCO)c1c(Br)cccc1Nc1ncnc2ccncc12,12.02,nM,7.92,active,404.2680000000001,2.3218999999999994,3.0,7.0
CHEMBL272477,OCN(CO)c1c(Br)cccc1Nc1ncnc2ccncc12,14.13,nM,7.85,active,376.2140000000001,2.2368999999999994,3.0,7.0
CHEMBL410635,CN(CC(O)CO)c1c(Br)cccc1Nc1ncnc2ccncc12,3.236,nM,8.49,active,404.2680000000001,2.3202999999999996,3.0,7.0
CHEMBL270695,OCC(O)CNc1c(Br)cccc1Nc1ncnc2ccncc12,0.9333,nM,9.03,active,390.2410000000001,2.2960000000000003,4.0,7.0
CHEMBL408397,CN(CCO)c1c(Br)cccc1Nc1ncnc2ccncc12,2.63,nM,8.58,active,374.24200000000013,2.9594000000000005,2.0,6.0
CHEMBL270696,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,0.2455,nM,9.61,active,360.2150000000001,2.9351000000000003,3.0,6.0
CHEMBL416307,Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,3.02,nM,8.52,active,346.398,2.84952,3.0,7.0
CHEMBL299881,Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,2.344,nM,8.63,active,365.44100000000026,2.2159199999999997,2.0,8.0
CHEMBL52829,Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,4.074,nM,8.39,active,280.33500000000004,2.53782,1.0,6.0
CHEMBL52591,CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,4.365,nM,8.36,active,266.308,2.5135200000000006,2.0,6.0
CHEMBL298931,Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,17.38,nM,7.76,active,252.28100000000003,2.0540199999999995,2.0,6.0
CHEMBL52823,Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,380.19,nM,6.42,active,271.71100000000007,3.1252200000000014,1.0,5.0
CHEMBL271328,Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,2.344,nM,8.63,active,411.26700000000017,3.2344999999999997,2.0,7.0
CHEMBL53426,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,0.2512,nM,9.60,active,411.26700000000017,3.3035999999999994,3.0,7.0
CHEMBL417420,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,2.951,nM,8.53,active,444.3370000000004,3.0601000000000003,2.0,8.0
CHEMBL294475,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,0.8128,nM,9.09,active,430.31000000000034,2.67,2.0,8.0
CHEMBL51854,COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,3.802,nM,8.42,active,332.16100000000006,2.9345,1.0,6.0
CHEMBL53777,CN(C)c1ncc2ncnc(Nc3cccc(Br)c3)c2n1,0.955,nM,9.02,active,345.20400000000006,2.9919000000000002,1.0,6.0
CHEMBL299622,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,0.7762,nM,9.11,active,331.177,2.967600000000001,2.0,6.0
CHEMBL53831,Nc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,1.514,nM,8.82,active,317.15000000000003,2.5081000000000007,2.0,6.0
CHEMBL53311,Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,83.18,nM,7.08,active,336.58000000000004,3.579300000000001,1.0,5.0
CHEMBL53310,CNc1ncc2ncnc(Nc3ccccc3)c2n1,13.18,nM,7.88,active,252.28100000000003,2.2051,2.0,6.0
CHEMBL301549,COc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,263.03,nM,6.58,active,331.17300000000006,3.539500000000002,1.0,5.0
CHEMBL50245,CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1,331.13,nM,6.48,active,344.216,3.5969000000000024,1.0,5.0
CHEMBL298637,CNc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,52.48,nM,7.28,active,330.189,3.5726000000000013,2.0,5.0
CHEMBL291701,Fc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,691.83,nM,6.16,active,319.13700000000006,3.6700000000000017,1.0,4.0
CHEMBL54474,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,954.99,nM,6.02,active,316.16200000000003,3.113100000000001,2.0,5.0
CHEMBL54475,Brc1cccc(Nc2ncnc3ncccc23)c1,691.83,nM,6.16,active,301.14700000000005,3.530900000000001,1.0,4.0
CHEMBL53299,COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1,2.344,nM,8.63,active,436.3130000000001,5.151600000000003,2.0,6.0
CHEMBL53062,COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,2.63,nM,8.58,active,331.17300000000006,3.539500000000002,1.0,5.0
CHEMBL53121,Fc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,125.89,nM,6.90,active,319.137,3.670000000000001,1.0,4.0
CHEMBL296377,Clc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,40.74,nM,7.39,active,335.59200000000004,4.184300000000001,1.0,4.0
CHEMBL51265,Brc1cccc(Nc2ncnc3cnccc23)c1,51.29,nM,7.29,active,301.14700000000005,3.530900000000001,1.0,4.0
CHEMBL405772,Cc1cccc(Nc2ncnc3ccncc23)c1N,40.74,nM,7.39,active,251.29300000000003,2.659019999999999,2.0,5.0
CHEMBL402452,Nc1c(O)cccc1Nc1ncnc2ccncc12,70.79,nM,7.15,active,253.26500000000001,2.0561999999999996,3.0,6.0
CHEMBL270975,Nc1c(Cl)cccc1Nc1ncnc2ccncc12,120.23,nM,6.92,active,271.711,3.0040000000000004,2.0,5.0
CHEMBL270924,Nc1c(F)cccc1Nc1ncnc2ccncc12,851.14,nM,6.07,active,255.256,2.4897,2.0,5.0
CHEMBL407591,COc1ccc(Nc2ncnc3ccncc23)c(N)c1,676.08,nM,6.17,active,267.29200000000003,2.3591999999999995,2.0,6.0
CHEMBL441335,COc1cccc(Nc2ncnc3ccncc23)c1N,131.83,nM,6.88,active,267.29200000000003,2.3591999999999995,2.0,6.0
CHEMBL271617,Nc1cc(Br)ccc1Nc1ncnc2ccncc12,25.7,nM,7.59,active,316.1620000000001,3.1131,2.0,5.0
CHEMBL258598,Nc1c(Br)cccc1Nc1ncnc2ccncc12,10.0,nM,8.00,active,316.1620000000001,3.1131,2.0,5.0
CHEMBL273116,Nc1ccccc1Nc1ncnc2cc(Br)ncc12,245.47,nM,6.61,active,316.16200000000003,3.113100000000001,2.0,5.0
CHEMBL441332,Nc1c(Nc2ncnc3ccncc23)cccc1[N+](=O)[O-],40.74,nM,7.39,active,282.2630000000001,2.2588,2.0,7.0
CHEMBL272258,Nc1ccccc1Nc1ncnc2ccncc12,251.19,nM,6.60,active,237.26600000000002,2.3506,2.0,5.0
CHEMBL441333,COc1c(Br)cccc1Nc1ncnc2ccncc12,39.81,nM,7.40,active,331.17300000000006,3.5395000000000003,1.0,5.0
CHEMBL269889,Fc1c(Br)cccc1Nc1ncnc2ccncc12,13.18,nM,7.88,active,319.13700000000006,3.670000000000001,1.0,4.0
CHEMBL270921,CC(=O)Nc1c(Br)cccc1Nc1ncnc2ccncc12,29.51,nM,7.53,active,358.19900000000007,3.4893,2.0,5.0
CHEMBL52665,Brc1cccc(Nc2ncnc3ccncc23)c1,35.48,nM,7.45,active,301.14700000000005,3.530900000000001,1.0,4.0
CHEMBL50519,COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,4.365,nM,8.36,active,331.17300000000006,3.539500000000002,1.0,5.0
CHEMBL53796,CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,9.772,nM,8.01,active,344.216,3.5969000000000015,1.0,5.0
CHEMBL53156,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,3.162,nM,8.50,active,330.1890000000001,3.5726000000000013,2.0,5.0
